department,promotion_name,media_type,sales_district,store_type,yearly_income,member_card,occupation,video_store,store_cost,unit_sales,SRP,net_weight,cost,store_sqft,promotion_period
5,38,1,2,4,1,0,3,0,4.275,3,2.85,7.1,12950,39696.0,4
14,38,1,2,4,1,0,3,0,3.4155,3,3.45,16.6,12950,39696.0,4
14,38,1,2,4,1,0,3,0,4.596,3,3.83,12.0,12950,39696.0,4
9,38,1,2,4,6,3,1,0,0.371,2,0.53,11.6,12950,39696.0,4
19,38,1,2,4,6,3,1,0,1.3912,2,1.88,11.3,12950,39696.0,4
0,38,1,2,4,0,2,4,0,4.224,3,3.52,7.39,12950,39696.0,4
9,38,1,2,4,0,2,4,0,1.8036,3,1.67,15.7,12950,39696.0,4
12,38,1,2,4,5,1,4,0,1.178,4,0.95,8.81,12950,39696.0,4
19,38,1,2,4,5,1,4,0,1.6064,2,2.51,6.31,12950,39696.0,4
17,38,1,2,4,0,2,4,0,1.4484,3,1.42,7.61,12950,39696.0,4
2,38,1,2,4,0,2,4,0,3.0272,2,3.52,19.3,12950,39696.0,4
10,38,1,2,4,0,2,4,0,2.0124,3,1.56,9.3,12950,39696.0,4
1,38,1,2,4,0,2,2,0,2.367,2,2.63,8.1,12950,39696.0,4
16,38,1,2,4,0,2,2,0,3.3573,3,3.61,13.6,12950,39696.0,4
17,38,1,2,4,0,2,2,0,1.1968,2,1.76,9.19,12950,39696.0,4
10,38,1,2,4,0,2,2,0,4.068,4,2.26,8.53,12950,39696.0,4
3,38,1,2,4,0,2,2,0,0.8832,2,0.96,14.5,12950,39696.0,4
20,38,1,2,4,4,0,2,0,2.7808,4,1.58,8.3,12950,39696.0,4
9,38,1,2,4,4,0,2,0,0.9384,3,0.68,7.71,12950,39696.0,4
21,38,1,2,4,4,0,2,0,1.6082,2,1.87,13.6,12950,39696.0,4
13,38,1,2,4,4,0,2,0,2.0424,2,2.76,15.2,12950,39696.0,4
3,38,1,2,4,4,0,2,0,0.9648,3,0.67,5.11,12950,39696.0,4
13,38,1,2,4,4,0,2,0,2.8224,4,1.68,18.5,12950,39696.0,4
14,38,1,2,4,0,2,4,0,4.4184,4,2.63,5.78,12950,39696.0,4
14,38,1,2,4,0,2,4,0,2.622,2,3.45,16.6,12950,39696.0,4
17,38,1,2,4,4,0,3,0,5.472,4,2.85,11.0,12950,39696.0,4
17,38,1,2,4,4,0,3,0,0.3904,2,0.61,7.32,12950,39696.0,4
14,38,1,2,4,4,0,3,0,1.0622,2,1.13,19.7,12950,39696.0,4
14,38,1,2,4,4,0,3,0,5.6388,4,3.81,7.32,12950,39696.0,4
14,38,1,2,4,4,0,3,0,3.0628,4,2.47,5.36,12950,39696.0,4
11,38,1,2,4,5,0,1,0,2.028,4,1.3,10.0,12950,39696.0,4
0,38,1,2,4,5,0,1,0,4.7168,4,2.68,8.69,12950,39696.0,4
17,38,1,2,4,4,0,4,0,1.239,2,1.77,19.2,12950,39696.0,4
17,38,1,2,4,4,0,4,0,1.86,2,1.86,20.2,12950,39696.0,4
10,38,1,2,4,4,0,4,0,3.0105,3,2.23,13.8,12950,39696.0,4
13,38,1,2,4,4,0,4,0,2.0022,2,2.13,7.1,12950,39696.0,4
4,38,1,2,4,4,0,4,0,1.976,2,2.47,6.86,12950,39696.0,4
3,38,1,2,4,4,0,4,0,1.2284,4,0.83,11.1,12950,39696.0,4
14,38,1,2,4,4,0,2,0,3.0258,3,2.46,7.39,12950,39696.0,4
9,38,1,2,4,4,0,2,0,1.4362,2,1.67,15.7,12950,39696.0,4
12,38,1,2,4,4,0,2,0,1.518,4,1.15,14.6,12950,39696.0,4
2,38,1,2,4,4,0,2,0,3.8955,3,2.65,3.94,12950,39696.0,4
13,38,1,2,4,4,0,2,0,1.7019,3,1.83,11.6,12950,39696.0,4
8,38,1,2,4,4,0,2,0,5.5566,3,3.78,16.2,12950,39696.0,4
9,38,1,2,4,4,0,2,0,2.0264,4,1.49,17.2,12950,39696.0,4
3,38,1,2,4,4,0,4,0,4.14,5,1.8,7.03,12950,39696.0,4
3,38,1,2,4,4,0,4,0,0.672,3,0.7,8.8,12950,39696.0,4
12,38,1,2,4,4,0,4,0,2.145,3,1.43,8.56,12950,39696.0,4
16,38,1,2,4,4,0,4,0,0.792,3,0.6,13.3,12950,39696.0,4
19,38,1,2,4,4,0,4,0,0.864,4,0.6,17.8,12950,39696.0,4
14,38,1,2,4,0,2,4,0,0.6474,2,0.83,18.0,12950,39696.0,4
11,38,1,2,4,0,2,4,0,1.971,2,2.19,17.5,12950,39696.0,4
12,38,1,2,4,0,2,4,0,1.2852,3,1.19,13.3,12950,39696.0,4
10,38,1,2,4,0,2,4,0,1.8648,3,1.68,10.1,12950,39696.0,4
1,38,1,2,4,0,2,4,0,5.6244,4,3.27,12.8,12950,39696.0,4
9,38,1,2,4,0,2,4,0,1.7184,3,1.79,15.2,12950,39696.0,4
12,38,1,2,4,0,2,4,0,2.1052,2,2.77,16.8,12950,39696.0,4
11,38,1,2,4,0,2,4,0,5.0864,4,3.74,19.2,12950,39696.0,4
5,38,1,2,4,7,0,1,0,3.5584,4,2.78,7.71,12950,39696.0,4
1,38,1,2,4,7,0,1,0,1.638,4,1.17,6.72,12950,39696.0,4
1,38,1,2,4,7,0,1,0,3.7797,3,2.93,16.8,12950,39696.0,4
3,38,1,2,4,7,0,1,0,1.8696,2,2.46,18.3,12950,39696.0,4
2,38,1,2,4,7,0,1,0,4.1736,4,2.22,7.23,12950,39696.0,4
10,38,1,2,4,7,0,1,0,7.5264,4,3.92,16.3,12950,39696.0,4
20,38,1,2,4,2,0,1,0,3.8073,3,3.43,14.0,12950,39696.0,4
3,38,1,2,4,2,0,1,0,3.4932,4,2.13,10.6,12950,39696.0,4
5,38,1,2,4,2,0,1,0,3.936,3,3.28,14.2,12950,39696.0,4
5,38,1,2,4,2,0,1,0,3.1878,3,2.31,5.32,12950,39696.0,4
9,38,1,2,4,2,0,1,0,7.7812,4,3.97,9.8,12950,39696.0,4
2,38,1,2,4,2,0,1,0,1.881,3,1.65,7.38,12950,39696.0,4
10,38,1,2,4,2,0,1,0,1.864,2,2.33,8.3,12950,39696.0,4
5,38,1,2,4,2,0,1,0,2.4338,2,2.83,13.8,12950,39696.0,4
12,38,1,2,4,2,0,1,0,2.268,3,2.1,8.5,12950,39696.0,4
9,38,1,2,4,2,0,1,0,2.109,3,1.85,13.8,12950,39696.0,4
13,38,1,2,4,2,0,1,0,1.1985,3,0.85,12.6,12950,39696.0,4
9,38,1,2,4,2,0,1,0,2.8512,2,3.96,9.89,12950,39696.0,4
2,38,1,2,4,0,2,2,0,2.805,3,2.75,6.02,12950,39696.0,4
17,38,1,2,4,0,2,2,0,3.3536,4,2.62,11.8,12950,39696.0,4
10,38,1,2,4,0,2,2,0,3.9368,4,2.66,19.2,12950,39696.0,4
5,38,1,2,4,0,2,2,0,0.6264,2,0.87,11.3,12950,39696.0,4
19,38,1,2,4,5,0,1,0,3.0498,3,2.21,17.5,12950,39696.0,4
6,38,1,2,4,5,0,1,0,3.108,3,2.8,3.96,12950,39696.0,4
12,38,1,2,4,5,0,1,0,4.1344,4,2.72,12.1,12950,39696.0,4
9,38,1,2,4,5,0,1,0,4.8951,3,3.33,15.5,12950,39696.0,4
5,38,1,2,4,5,0,1,0,3.8304,4,2.28,7.5,12950,39696.0,4
17,38,1,2,4,5,0,1,0,1.2408,3,0.88,16.7,12950,39696.0,4
8,38,1,2,4,2,0,3,0,1.1008,2,1.72,7.1,12950,39696.0,4
14,38,1,2,4,2,0,3,0,3.3075,3,2.45,4.11,12950,39696.0,4
8,38,1,2,4,2,0,3,0,2.9532,2,3.21,17.7,12950,39696.0,4
20,38,1,2,4,2,0,3,0,0.792,3,0.66,15.8,12950,39696.0,4
17,38,1,2,4,6,2,3,0,0.5301,3,0.57,7.3,12950,39696.0,4
13,38,1,2,4,6,2,3,0,2.376,3,2.4,16.1,12950,39696.0,4
14,38,1,2,4,6,2,3,0,3.1611,3,2.57,9.0,12950,39696.0,4
12,38,1,2,4,6,2,3,0,1.9712,2,2.24,12.8,12950,39696.0,4
5,38,1,2,4,6,2,3,0,1.2789,3,0.87,11.3,12950,39696.0,4
14,38,1,2,4,6,2,3,0,5.7,4,2.85,10.8,12950,39696.0,4
5,38,1,2,4,6,2,3,0,1.368,3,1.2,8.8,12950,39696.0,4
12,38,1,2,4,0,2,2,0,2.6418,2,3.57,6.5,12950,39696.0,4
12,38,1,2,4,0,2,2,0,3.5793,3,2.91,16.3,12950,39696.0,4
5,38,1,2,4,0,2,2,0,1.44,2,1.8,11.0,12950,39696.0,4
21,38,1,2,4,0,2,2,0,2.758,2,3.94,11.3,12950,39696.0,4
17,38,1,2,4,0,2,2,0,1.6485,3,1.57,20.3,12950,39696.0,4
11,38,1,2,4,0,2,2,0,0.8742,2,0.93,14.6,12950,39696.0,4
5,38,1,2,4,0,2,2,0,1.612,4,1.3,18.5,12950,39696.0,4
17,38,1,2,4,0,2,2,0,2.3463,3,2.37,13.1,12950,39696.0,4
17,38,1,2,4,0,2,2,0,2.295,2,2.55,10.8,12950,39696.0,4
21,38,1,2,4,0,2,2,0,2.736,2,3.8,11.8,12950,39696.0,4
16,38,1,2,4,0,2,2,0,3.159,3,2.7,17.2,12950,39696.0,4
12,38,1,2,4,4,3,0,0,1.7427,3,1.57,5.76,12950,39696.0,4
19,38,1,2,4,4,3,0,0,2.4336,2,3.38,10.6,12950,39696.0,4
13,38,1,2,4,0,2,4,0,0.8256,2,0.96,7.42,12950,39696.0,4
9,38,1,2,4,0,2,4,0,1.068,3,0.89,12.5,12950,39696.0,4
10,38,1,2,4,0,2,4,0,4.5408,3,3.52,9.89,12950,39696.0,4
12,38,1,2,4,0,2,4,0,3.1824,3,2.72,12.1,12950,39696.0,4
12,38,1,2,4,0,2,4,0,0.341,2,0.55,14.8,12950,39696.0,4
14,38,1,2,4,0,2,4,0,2.9172,4,1.87,18.7,12950,39696.0,4
14,38,1,2,4,4,1,4,0,3.1239,3,2.67,12.6,12950,39696.0,4
10,38,1,2,4,4,1,4,0,3.135,3,2.75,11.1,12950,39696.0,4
14,38,1,2,4,4,1,4,0,1.3464,2,1.87,18.7,12950,39696.0,4
5,38,1,2,4,4,1,4,0,3.348,3,2.48,16.2,12950,39696.0,4
9,38,1,2,4,0,0,4,0,2.3128,2,2.36,16.6,12950,39696.0,4
17,38,1,2,4,0,0,4,0,2.511,3,1.86,17.3,12950,39696.0,4
12,38,1,2,4,0,0,4,0,4.554,4,3.45,18.2,12950,39696.0,4
19,38,1,2,4,0,0,4,0,2.076,3,1.73,6.57,12950,39696.0,4
3,38,1,2,4,0,0,4,0,4.3616,4,2.32,7.78,12950,39696.0,4
17,38,1,2,4,0,0,4,0,2.0274,3,2.18,17.2,12950,39696.0,4
2,38,1,2,4,0,2,2,0,2.064,3,1.6,8.6,12950,39696.0,4
17,38,1,2,4,0,2,2,0,1.0672,4,0.58,10.0,12950,39696.0,4
2,38,1,2,4,0,2,2,0,3.1672,4,2.14,13.8,12950,39696.0,4
10,38,1,2,4,0,2,2,0,2.1294,3,1.69,17.1,12950,39696.0,4
12,38,1,2,4,0,2,2,0,5.184,4,2.7,15.2,12950,39696.0,4
17,38,1,2,4,0,2,2,0,1.1408,4,0.92,14.2,12950,39696.0,4
3,38,1,2,4,0,2,2,0,6.086,5,3.58,8.39,12950,39696.0,4
11,38,1,2,4,0,2,2,0,1.677,3,1.3,10.0,12950,39696.0,4
3,38,1,2,4,0,2,2,0,2.2448,4,1.22,13.1,12950,39696.0,4
12,38,1,2,4,0,2,2,0,1.9224,3,1.78,17.0,12950,39696.0,4
20,38,1,2,4,0,2,2,0,3.1856,4,1.81,5.19,12950,39696.0,4
1,38,1,2,4,0,2,4,0,3.8661,3,2.63,8.1,12950,39696.0,4
17,38,1,2,4,0,2,4,0,3.5904,4,2.72,16.2,12950,39696.0,4
17,38,1,2,4,0,2,4,0,1.7019,3,1.83,8.71,12950,39696.0,4
12,38,1,2,4,0,2,4,0,1.6932,3,1.66,7.84,12950,39696.0,4
5,48,0,6,1,0,0,2,1,6.4876,4,3.31,9.5,13181,23688.0,4
19,48,0,6,1,0,0,2,1,1.6464,2,1.68,18.8,13181,23688.0,4
10,48,0,6,1,7,1,3,1,1.5198,3,1.49,10.3,13181,23688.0,4
19,48,0,6,1,7,1,3,1,2.8372,4,1.73,6.23,13181,23688.0,4
9,48,0,6,1,5,0,3,1,3.2604,3,2.47,11.1,13181,23688.0,4
20,48,0,6,1,5,0,3,1,2.7156,3,2.92,12.6,13181,23688.0,4
17,48,0,6,1,5,0,3,1,4.2042,3,2.86,7.36,13181,23688.0,4
14,48,0,6,1,5,0,3,1,2.2618,2,2.63,11.6,13181,23688.0,4
5,48,0,6,1,4,0,2,1,6.128,4,3.83,13.1,13181,23688.0,4
19,48,0,6,1,4,0,2,1,3.3516,3,2.94,6.23,13181,23688.0,4
9,48,0,6,1,4,0,2,1,4.74,4,3.95,7.94,13181,23688.0,4
13,48,0,6,1,4,0,2,1,3.78,3,3.5,20.7,13181,23688.0,4
9,48,0,6,1,4,0,2,1,4.2312,3,3.44,12.3,13181,23688.0,4
2,48,0,6,4,4,3,2,0,3.1104,3,2.16,9.5,13181,23598.0,4
5,48,0,6,4,4,3,2,0,1.8612,3,1.32,16.8,13181,23598.0,4
2,48,0,6,4,4,3,2,0,2.1168,2,2.94,14.7,13181,23598.0,4
12,48,0,6,4,4,3,2,0,1.4496,3,1.51,10.5,13181,23598.0,4
2,48,0,6,4,4,3,2,0,3.5742,3,2.59,10.1,13181,23598.0,4
9,48,0,6,1,0,2,4,1,2.4975,3,1.85,9.89,13181,23688.0,4
14,48,0,6,1,0,2,4,1,5.5664,4,2.84,18.5,13181,23688.0,4
10,48,0,6,1,0,2,4,1,1.6684,4,0.97,6.82,13181,23688.0,4
3,48,0,6,1,0,2,4,1,3.0996,3,2.46,18.3,13181,23688.0,4
12,48,0,6,1,0,2,4,1,3.2384,2,3.68,9.19,13181,23688.0,4
4,48,0,6,4,5,0,3,0,3.36,3,3.5,12.3,13181,23598.0,4
2,48,0,6,4,5,0,3,0,0.5762,2,0.67,19.0,13181,23598.0,4
10,48,0,6,4,5,0,3,0,1.5015,3,1.43,9.8,13181,23598.0,4
3,48,0,6,4,5,0,3,0,3.128,4,1.7,3.09,13181,23598.0,4
17,48,0,6,4,5,0,3,0,2.6814,3,2.18,17.2,13181,23598.0,4
17,48,0,6,4,5,0,1,0,2.1682,2,2.93,9.89,13181,23598.0,4
0,48,0,6,4,5,0,1,0,3.444,3,2.87,8.3,13181,23598.0,4
17,48,0,6,4,5,0,1,0,3.1324,4,1.91,19.7,13181,23598.0,4
1,48,0,6,4,5,0,1,0,2.52,4,1.26,9.3,13181,23598.0,4
5,48,0,6,4,5,0,1,0,2.216,2,2.77,14.0,13181,23598.0,4
19,48,0,6,4,0,2,2,0,4.1328,4,2.52,8.0,13181,23598.0,4
16,48,0,6,4,0,2,2,0,2.1648,4,1.64,17.2,13181,23598.0,4
13,48,0,6,4,0,2,2,0,3.1395,5,1.61,19.7,13181,23598.0,4
9,48,0,6,4,0,2,2,0,5.175,5,2.3,17.3,13181,23598.0,4
2,48,0,6,4,0,2,2,0,2.0944,4,1.54,13.5,13181,23598.0,4
13,48,0,6,4,6,0,3,0,1.5936,3,1.66,13.3,13181,23598.0,4
19,48,0,6,4,6,0,3,0,0.774,2,0.86,6.13,13181,23598.0,4
12,48,0,6,4,6,0,3,0,3.264,4,2.72,12.1,13181,23598.0,4
2,48,0,6,4,6,0,3,0,4.2336,4,2.94,14.7,13181,23598.0,4
12,48,0,6,4,6,0,3,0,1.9188,3,1.64,18.7,13181,23598.0,4
5,48,0,6,4,6,0,3,0,3.4056,3,3.44,7.42,13181,23598.0,4
17,48,0,6,4,0,2,2,0,4.9456,4,2.81,8.69,13181,23598.0,4
14,48,0,6,4,0,2,2,0,2.709,3,2.15,8.01,13181,23598.0,4
3,48,0,6,4,0,2,2,0,4.3524,4,3.51,19.0,13181,23598.0,4
12,48,0,6,4,4,1,4,0,4.752,4,2.97,13.1,13181,23598.0,4
19,48,0,6,1,0,2,2,1,2.7048,2,2.94,6.23,13181,23688.0,4
12,48,0,6,1,0,2,2,1,3.2226,2,3.93,5.35,13181,23688.0,4
12,48,0,6,1,0,2,2,1,1.386,2,2.1,8.5,13181,23688.0,4
5,48,0,6,1,6,0,3,1,3.2912,2,3.74,6.72,13181,23688.0,4
19,48,0,6,1,6,0,3,1,2.664,3,2.22,8.69,13181,23688.0,4
19,48,0,6,1,6,0,3,1,3.008,4,2.35,15.7,13181,23688.0,4
0,48,0,6,4,5,0,3,0,3.3792,3,3.52,7.39,13181,23598.0,4
16,48,0,6,4,5,0,3,0,2.6404,4,1.61,12.3,13181,23598.0,4
10,48,0,6,4,5,0,3,0,1.4904,2,1.62,8.19,13181,23598.0,4
12,48,0,6,4,5,0,3,0,4.1904,3,2.91,16.3,13181,23598.0,4
17,48,0,6,4,5,0,3,0,2.52,3,2.4,12.6,13181,23598.0,4
14,48,0,6,4,0,2,4,0,3.56,4,1.78,11.3,13181,23598.0,4
9,48,0,6,4,0,2,4,0,3.3573,3,3.61,3.94,13181,23598.0,4
17,48,0,6,4,0,2,4,0,1.141,2,1.63,13.6,13181,23598.0,4
21,48,0,6,4,0,2,4,0,3.4638,3,2.51,5.93,13181,23598.0,4
17,48,0,6,4,0,2,4,0,2.928,3,2.44,10.6,13181,23598.0,4
9,48,0,6,4,0,2,4,0,0.553,2,0.79,12.6,13181,23598.0,4
13,48,0,6,4,0,2,4,0,3.7356,4,2.83,9.8,13181,23598.0,4
12,48,0,6,1,0,2,2,1,4.74,3,3.95,6.53,13181,23688.0,4
19,48,0,6,1,0,2,2,1,1.5402,3,1.51,3.84,13181,23688.0,4
2,48,0,6,1,0,2,2,1,5.94,4,2.97,11.5,13181,23688.0,4
12,48,0,6,1,0,2,2,1,1.2096,2,1.68,3.05,13181,23688.0,4
2,48,0,6,1,0,2,2,1,1.917,3,1.42,7.25,13181,23688.0,4
17,48,0,6,1,0,2,2,1,0.8883,3,0.63,5.85,13181,23688.0,4
3,48,0,6,4,4,0,4,0,2.592,4,1.8,7.03,13181,23598.0,4
4,48,0,6,4,4,0,4,0,3.7824,4,1.97,5.42,13181,23598.0,4
14,48,0,6,4,4,0,4,0,0.7668,3,0.71,7.6,13181,23598.0,4
18,48,0,6,4,4,0,4,0,3.9032,4,2.38,8.89,13181,23598.0,4
12,48,0,6,4,6,0,3,0,4.2957,3,3.87,4.19,13181,23598.0,4
13,48,0,6,4,6,0,3,0,2.9274,3,2.38,17.0,13181,23598.0,4
10,48,0,6,4,6,0,3,0,4.5264,4,2.76,3.8,13181,23598.0,4
19,48,0,6,4,6,0,3,0,4.7388,3,3.59,9.8,13181,23598.0,4
3,48,0,6,4,6,0,3,0,2.7756,3,2.57,13.1,13181,23598.0,4
12,48,0,6,4,5,3,3,0,1.728,3,1.28,13.3,13181,23598.0,4
0,48,0,6,4,5,3,3,0,1.4878,2,1.73,7.26,13181,23598.0,4
12,48,0,6,4,5,3,3,0,1.2144,4,0.92,5.86,13181,23598.0,4
2,48,0,6,4,5,3,3,0,2.508,4,1.65,7.38,13181,23598.0,4
9,48,0,6,4,4,0,2,0,2.964,3,2.47,11.1,13181,23598.0,4
12,48,0,6,4,4,0,2,0,1.6368,4,0.93,8.92,13181,23598.0,4
0,48,0,6,4,4,0,2,0,3.6015,3,3.43,7.4,13181,23598.0,4
0,48,0,6,4,4,0,2,0,3.2634,3,2.59,15.6,13181,23598.0,4
2,48,0,6,4,4,0,2,0,1.4964,3,1.16,10.8,13181,23598.0,4
11,48,0,6,4,4,0,2,0,3.0552,3,2.68,5.38,13181,23598.0,4
5,48,0,6,4,4,0,2,0,1.62,3,1.2,9.0,13181,23598.0,4
19,48,0,6,4,0,2,2,0,4.8504,4,2.58,14.1,13181,23598.0,4
12,48,0,6,4,0,2,2,0,5.0784,3,3.68,8.78,13181,23598.0,4
13,48,0,6,4,0,2,2,0,5.8359,3,3.97,5.32,13181,23598.0,4
1,48,0,6,4,0,2,2,0,0.4968,2,0.69,16.6,13181,23598.0,4
21,48,0,6,4,0,2,2,0,1.536,4,1.2,9.5,13181,23598.0,4
17,48,0,6,4,0,2,2,0,1.0881,3,0.93,16.2,13181,23598.0,4
19,48,0,6,4,0,2,2,0,0.814,4,0.55,16.6,13181,23598.0,4
17,48,0,6,1,4,2,2,1,1.944,3,1.35,19.5,13181,23688.0,4
17,48,0,6,1,4,2,2,1,3.5187,3,3.17,18.1,13181,23688.0,4
17,48,0,6,1,4,2,2,1,2.1384,4,1.62,15.1,13181,23688.0,4
21,48,0,6,1,4,2,2,1,3.7935,3,2.81,8.0,13181,23688.0,4
2,48,0,6,1,4,2,2,1,2.016,4,1.2,13.3,13181,23688.0,4
9,48,0,6,1,4,2,2,1,1.386,3,1.32,16.6,13181,23688.0,4
12,48,0,6,4,5,0,3,0,2.052,2,2.7,18.2,13181,23598.0,4
20,48,0,6,4,5,0,3,0,5.8144,4,3.16,5.78,13181,23598.0,4
14,48,0,6,4,5,0,3,0,3.7779,3,2.57,11.1,13181,23598.0,4
20,48,0,6,4,5,0,3,0,1.134,3,0.9,9.89,13181,23598.0,4
14,48,0,6,4,5,0,3,0,0.4352,2,0.64,15.3,13181,23598.0,4
9,48,0,6,4,5,0,3,0,1.3536,4,0.94,5.42,13181,23598.0,4
5,48,0,6,1,4,0,0,1,1.6065,3,1.53,16.2,13181,23688.0,4
13,48,0,6,1,4,0,0,1,2.1756,3,1.48,11.0,13181,23688.0,4
12,48,0,6,1,4,0,0,1,2.2896,3,1.59,17.5,13181,23688.0,4
17,48,0,6,1,4,0,0,1,2.9392,4,1.67,16.1,13181,23688.0,4
3,48,0,6,1,5,0,3,1,1.494,4,0.83,18.6,13181,23688.0,4
3,48,0,6,1,5,0,3,1,1.3755,3,1.31,5.28,13181,23688.0,4
4,48,0,6,1,5,0,3,1,3.525,5,2.35,19.2,13181,23688.0,4
11,48,0,6,1,5,0,3,1,2.961,3,2.35,17.2,13181,23688.0,4
17,48,0,6,1,5,0,3,1,4.9536,4,3.87,6.55,13181,23688.0,4
13,48,0,6,1,5,0,3,1,3.808,4,2.38,13.0,13181,23688.0,4
19,48,0,6,1,6,0,1,1,1.98,3,1.5,6.76,13181,23688.0,4
12,48,0,6,1,6,0,1,1,0.6195,3,0.59,16.2,13181,23688.0,4
14,48,0,6,1,6,0,1,1,2.0874,2,2.13,7.18,13181,23688.0,4
17,48,0,6,1,6,0,1,1,2.2704,4,1.32,5.28,13181,23688.0,4
19,48,0,6,4,2,3,3,0,4.2336,4,2.52,8.0,13181,23598.0,4
14,48,0,6,4,2,3,3,0,6.956,4,3.7,18.7,13181,23598.0,4
17,48,0,6,4,2,3,3,0,5.0424,3,3.82,15.1,13181,23598.0,4
14,48,0,6,4,2,3,3,0,4.05,3,3.75,9.0,13181,23598.0,4
14,48,0,6,4,2,3,3,0,3.776,4,2.95,14.8,13181,23598.0,4
3,48,0,6,4,2,3,3,0,3.6516,3,3.58,8.39,13181,23598.0,4
17,48,0,6,1,7,1,3,1,4.2712,4,2.81,8.69,13181,23688.0,4
17,48,0,6,1,7,1,3,1,2.9736,4,1.77,19.2,13181,23688.0,4
17,48,0,6,1,7,1,3,1,0.9174,2,1.39,17.3,13181,23688.0,4
14,48,0,6,1,7,1,3,1,3.264,3,2.72,17.1,13181,23688.0,4
8,48,0,6,1,7,1,3,1,6.6528,4,3.78,16.2,13181,23688.0,4
12,48,0,6,1,7,1,3,1,1.0848,2,1.13,7.15,13181,23688.0,4
19,48,0,6,4,5,0,3,0,2.944,2,3.2,16.8,13181,23598.0,4
19,48,0,6,4,5,0,3,0,0.6536,2,0.76,7.39,13181,23598.0,4
17,48,0,6,4,4,3,4,0,3.588,3,2.6,6.09,13181,23598.0,4
14,48,0,6,4,4,3,4,0,3.478,2,3.7,11.3,13181,23598.0,4
2,48,0,6,4,4,3,4,0,1.8564,3,1.82,20.1,13181,23598.0,4
13,48,0,6,4,4,3,4,0,1.6548,2,1.97,17.8,13181,23598.0,4
14,48,0,6,4,4,3,4,0,2.146,2,2.9,5.57,13181,23598.0,4
1,48,0,6,4,4,3,4,0,1.8744,3,1.42,16.8,13181,23598.0,4
9,48,0,6,4,2,0,1,0,0.5346,2,0.81,11.1,13181,23598.0,4
19,48,0,6,4,2,0,1,0,3.2379,3,2.51,6.31,13181,23598.0,4
12,48,0,6,1,0,2,4,1,2.2102,2,2.57,11.1,13181,23688.0,4
2,48,0,6,1,0,2,4,1,3.186,3,2.95,18.7,13181,23688.0,4
5,48,0,6,1,0,2,4,1,3.885,3,2.59,7.63,13181,23688.0,4
17,48,0,6,1,0,2,4,1,4.7256,3,3.58,18.8,13181,23688.0,4
10,48,0,6,1,0,2,4,1,1.5873,3,1.43,9.8,13181,23688.0,4
14,48,0,6,1,0,2,4,1,0.756,3,0.7,12.0,13181,23688.0,4
14,48,0,6,1,0,2,4,1,0.726,3,0.55,19.5,13181,23688.0,4
0,48,0,6,4,2,0,1,0,3.408,3,2.84,8.5,13181,23598.0,4
19,48,0,6,4,2,0,1,0,4.536,4,3.78,8.5,13181,23598.0,4
